flight_id,date,airline,aircraft_type,tail_number,origin,destination,distance_km,duration_min,delay_min,maintenance_flag,cruise_altitude_ft,cruise_speed_kts,fuel_burn_kg,co2_kg,load_factor,passengers,safety_incidents,lat,lon
FL100000,2025-04-13,RoyalMaghreb,A320,CN-381,CMN,LHR,2103.0,218,39,0,33575,417,5435.1,17174.9,0.9,197,0,50.766137622843594,-0.28094898041199745
FL100001,2025-06-29,MoroccoFly,A321,CN-204,TNG,LHR,1003.9,111,64,0,34287,543,2277.3,7196.3,0.56,209,0,43.04679329029782,-3.975984394260838
FL100002,2025-04-03,RoyalMaghreb,E190,CN-532,RAK,MAD,1536.0,161,21,0,38489,450,4087.4,12916.2,0.8,241,0,39.373110064558084,-3.444137325999363
FL100003,2025-01-15,AtlasAir,A320,CN-338,RAK,TNG,1430.9,140,70,1,36317,444,4054.9,12813.5,0.84,141,0,32.74427016972703,-7.105382420049096
FL100004,2025-04-17,SaharaJet,B787,CN-303,CMN,MAD,2014.2,191,0,0,37438,481,4828.9,15259.3,0.86,218,0,39.86844039879265,-3.965224864678043
FL100005,2025-03-13,RoyalMaghreb,E190,CN-559,LHR,RAK,1398.5,119,47,0,39658,428,3815.3,12056.3,0.92,240,0,33.77938246580365,-7.283200034768498
FL100006,2025-07-08,SaharaJet,A330,CN-925,CMN,IST,1858.2,176,32,0,31981,389,4962.8,15682.4,0.88,260,0,33.877627556715126,-4.2786723397396385
FL100007,2025-01-21,MoroccoFly,E190,CN-384,LHR,TNG,546.0,47,62,0,36841,517,1239.8,3917.8,0.84,224,0,38.390063408900495,-4.874177778672209
FL100008,2025-04-13,MoroccoFly,A321,CN-194,MAD,CMN,931.1,82,0,1,32844,439,2555.1,8074.1,0.66,287,0,39.5914779748366,-4.010172385160342
FL100009,2025-05-02,EuroWings+,A320,CN-452,MAD,IST,1390.6,164,16,0,38813,488,3627.2,11462.0,0.81,172,0,41.22397071746924,24.501161638313032
FL100010,2025-07-30,SaharaJet,A330,CN-570,CMN,LHR,1858.6,156,0,0,39353,497,4680.3,14789.7,0.92,294,0,34.156913519442384,-6.97252915976723
FL100011,2025-08-03,SaharaJet,A320,CN-665,LHR,CMN,928.3,106,37,0,38097,359,2092.8,6613.2,0.85,216,0,36.46875125435045,-6.1134772321650095
FL100012,2025-03-16,SkyEagle,E190,CN-296,MAD,ORY,1007.9,85,63,0,38538,426,2913.8,9207.6,0.84,207,0,48.557751235174294,2.284302416389504
FL100013,2025-07-22,RoyalMaghreb,A320,CN-333,CMN,LHR,328.6,36,0,0,35778,465,953.0,3011.5,0.82,161,0,50.33510198375288,-0.6615636312926734
